id,source,source_file,record_type,sno,date_raw,date,date_year_assumed,shift,time_of_day,category_raw,category,sub_category,area_raw,area,department,unit,sub_location,observer_id,status,corrective_action,comments,extra,description,description_words,text,is_duplicate,duplicate_of,dup_kind,duplicate_ids
reg_near_miss_report_0025,register,near_miss_report.csv,near_miss,25,08-May,2024-05-08,True,,Day,Unsafe condition,UC,SLIPS AND TRIPS,5 PA,5 PA,,,,fe85a89f,CLOSED,Spillage cleaned immediately by the observer,,,Slid on the slippery oil on the floor,8,Slid on the slippery oil on the floor,False,,,
reg_near_miss_report_0026,register,near_miss_report.csv,near_miss,26,10-May,2024-05-10,True,,Day,Unsafe condition,UC,SLIPS AND TRIPS,9 PB,9 PB,,,,ecd1830b,CLOSED,"Piece of contrax removed, employee taken through slips and trips awareness",,,A non-machine attendant was tied with a piece of contrax starpping but did not fall down,16,A non-machine attendant was tied with a piece of contrax starpping but did not fall down,False,,,
reg_near_miss_report_0027,register,near_miss_report.csv,near_miss,27,11-May,2024-05-11,True,,Day,Unsafe condition,UC,SLIPS AND TRIPS,9 PA,9 PA,,,,b5a18519,OPEN,Anti-slip shoes recommended.,Shoes replaced for engineering team,,An operator slided on the slippery sludge covers almost falling dow,11,An operator slided on the slippery sludge covers almost falling dow,False,,,
reg_near_miss_report_0028,register,near_miss_report.csv,near_miss,28,12-May,2024-05-12,True,,Day,Unsafe condition,UC,NARROW ESCAPE,9 PA,9 PA,,,,bf89a333,CLOSED,Repaired by the electrician; Slippery carton waste removed and advised not to through carton waste on the floor.,,,Short circuiting on receiver belt conveyor controller,7,Short circuiting on receiver belt conveyor controller,False,,,
reg_near_miss_report_0029,register,near_miss_report.csv,near_miss,29,25-May,2024-05-25,True,,Day,Unsafe condition,UC,SLIPS AND TRIPS,5 PA,5 PA,,,,fe85a89f,CLOSED,,,,An operator slid at the feeder area,7,An operator slid at the feeder area,False,,,
reg_near_miss_report_0030,register,near_miss_report.csv,near_miss,30,29-May,2024-05-29,True,,Night,Unsafe condition,UC,NARROW ESCAPE,Pin Long,PIN LONG,,,,fc296bfe,CLOSED,Blower suction point guarded.,,,Flying particle dangling inside the blower suction point,8,Flying particle dangling inside the blower suction point,False,,,
reg_near_miss_report_0031,register,near_miss_report.csv,near_miss,31,30-May,2024-05-30,True,,Day,Unsafe condition,UC,SLIPS AND TRIPS,Pin Long,PIN LONG,,,,e4e58f55,CLOSED,Spillage addressed,,,Slipped on oil spilled due to overflow on PX 1 unit,11,Slipped on oil spilled due to overflow on PX 1 unit,False,,,
reg_near_miss_report_0032,register,near_miss_report.csv,near_miss,32,04-Jun,2024-06-04,True,,Night,Unsafe Act,UA,SLIPS AND TRIPS,Engineering Stores,ENGINEERING STORES,,,,e4e58f55,CLOSED,Pallets removed,,,Tripped on pallets kept along the gangway,7,Tripped on pallets kept along the gangway,False,,,
reg_near_miss_report_0033,register,near_miss_report.csv,near_miss,33,08-Jun,2024-06-08,True,,Day,Unsafe condition,UC,SLIPS AND TRIPS,Sterio room,STERIO ROOM,,,,b6007566,CLOSED,The entire racking system to be repaired,,,Sterio plate rack collapsed,4,Sterio plate rack collapsed,False,,,
reg_near_miss_report_0034,register,near_miss_report.csv,near_miss,34,13-Jun,2024-06-13,True,,Day,Unsafe condition,UC,NARROW ESCAPE,9 PA,9 PA,,,,13f8146f,CLOSED,Oil spillage cleaned immediately,,,Slipped on oil spilled on the floor,7,Slipped on oil spilled on the floor,False,,,
